time,ntime,latitude,nlatitude,longitude,nlongitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-02-09T20:16:21.110Z,2019-02-09 20:16:21,-15.0265,74.9735,-70.7244,109.2756,181.44,4.4,mb,,113,2.814,1.27,us,us2000jfqu,2019-02-09T22:03:10.040Z,"21km SW of Ayaviri, Peru",earthquake,10,9.6,0.094,33,reviewed,us,us
2019-02-09T20:15:39.230Z,2019-02-09 20:15:39,19.4039993,109.4039993,-155.2838287,24.7161713,0.35,1.77,ml,20,42,0.01289,0.08,hv,hv70805896,2019-02-09T20:21:18.010Z,"5km WSW of Volcano, Hawaii",earthquake,0.15,0.23,0.13,8,automatic,hv,hv
2019-02-09T20:10:42.990Z,2019-02-09 20:10:43,35.6398333,125.6398333,-118.3203333,61.6796667,6.45,1.47,ml,19,87,0.06085,0.13,ci,ci37527058,2019-02-09T20:14:26.199Z,"14km E of Lake Isabella, CA",earthquake,0.33,0.52,0.237,24,automatic,ci,ci
2019-02-09T19:54:15.650Z,2019-02-09 19:54:16,19.1959991,109.1959991,-155.427002,24.572998,-0.56,1.7,md,37,148,0.04982,0.22,hv,hv70805881,2019-02-09T19:57:24.430Z,"5km E of Pahala, Hawaii",earthquake,0.61,0.2,0.27,19,automatic,hv,hv
2019-02-09T19:28:00.691Z,2019-02-09 19:28:01,61.5104,151.5104,-149.944,30.056,46.3,0.9,ml,,,,0.53,ak,ak0191ugz4cl,2019-02-09T19:30:56.041Z,"1km SSE of Big Lake, Alaska",earthquake,,1.1,,,automatic,ak,ak
2019-02-09T19:25:37.630Z,2019-02-09 19:25:38,46.24116667,136.2411667,-122.11,57.89,7.44,1.88,ml,28,85,,0.14,uw,uw61511386,2019-02-09T20:31:55.250Z,"37km SSE of Morton, Washington",earthquake,0.2,0.29,0.124880094,14,reviewed,uw,uw
2019-02-09T19:23:08.010Z,2019-02-09 19:23:08,-21.668,68.332,-68.3854,111.6146,121.61,5.1,mww,,45,0.806,1.21,us,us2000jfq7,2019-02-09T21:36:41.040Z,"104km NNE of Calama, Chile",earthquake,7,5.6,0.073,18,reviewed,us,us
2019-02-09T19:18:36.610Z,2019-02-09 19:18:37,36.1093,126.1093,-115.6983,64.3017,9.2,1.1,ml,8,129.02,0.567,0.27,nn,nn00677416,2019-02-09T19:21:36.695Z,"27km ESE of Pahrump, Nevada",earthquake,,22.5,,,automatic,nn,nn
2019-02-09T19:18:21.990Z,2019-02-09 19:18:22,33.9645,123.9645,-116.8478333,63.1521667,17.82,1.63,ml,62,40,0.07793,0.23,ci,ci37527026,2019-02-09T19:29:43.440Z,"5km NNE of Banning, CA",earthquake,0.26,0.65,0.17,27,automatic,ci,ci
2019-02-09T19:11:33.897Z,2019-02-09 19:11:34,63.3166,153.3166,-151.0468,28.9532,16,0.8,ml,,,,0.39,ak,ak0191ugvjqm,2019-02-09T19:15:43.232Z,"105km W of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
